"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","verifying socialmedia links  ","","0","1","0","0","0"
"","","","0","13","36","1","0"
"","verifying career link  ","","0","1","0","0","0"
"","verifying URL ","","0","0","1","0","0"
"","verifying package booking functionality ","","0","1","0","0","0"
"","verifying validations ","","0","1","0","0","0"
"","verifying services page ","","0","0","1","0","0"
"","verifying about page  ","","0","0","1","0","0"
"","verifying popularpackages booking ","","0","1","0","0","0"
"","verifying linkdirecting pages ","","0","1","0","0","0"
"","verifying slider functionality","","0","0","1","0","0"
"","verifying booknow functionality ","","0","1","0","0","0"
"","appointment booking verification","","0","0","1","0","0"
"","verifying gallery page ","","0","0","1","0","0"
